index,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,animal_Type,Sex_upon_Outcome,Age_upon_Outcome,Breed,Color,Medicine
0,*Bradley,12/27/2018 13:25,12/27/2018 13:25,5/10/2017,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,White/Blue,Oxygen
1,*Rajah,10/1/2018 17:03,10/1/2018 17:03,4/18/2018,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby,xylazine
2,*Pebbles,1/11/2017 18:17,1/11/2017 18:17,3/7/2016,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Calico,medetomidine
3,Benji,11/13/2016 13:38,11/13/2016 13:38,7/14/2011,Return to Owner,,Dog,Neutered Male,5 years,Border Terrier Mix,Tan,yohimbine
4,,2/24/2016 14:42,2/24/2016 14:42,2/24/2014,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon Mix,Black/Gray,tolazoline
5,Rose,4/7/2017 11:58,4/7/2017 11:58,4/6/2016,Return to Owner,,Dog,Intact Female,1 year,Labrador Retriever/Jack Russell Terrier,Yellow,Anticholinergic
6,Happy Camper,5/24/2017 18:36,5/24/2017 18:36,4/8/2017,Transfer,Partner,Dog,Intact Male,1 month,Labrador Retriever Mix,Black,Lidocaine
7,Shakti,9/1/2017 11:23,9/1/2017 11:23,8/24/2014,Return to Owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Blue/White,Adrenaline
8,,11/14/2018 12:33,11/14/2018 12:33,3/12/2018,Transfer,Partner,Dog,Intact Male,8 months,English Springer Spaniel Mix,Black/White,anaesthetic
9,,7/13/2015 13:50,7/13/2015 13:50,6/21/2015,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Longhair Mix,Black Smoke,midazolam
10,Lucy,11/7/2013 11:47,11/7/2013 11:47,11/6/2012,Transfer,Partner,Dog,Spayed Female,1 year,Beagle Mix,White/Brown,inflammatory
11,*Johnny,6/3/2014 14:20,6/3/2014 14:20,3/31/2013,Adoption,,Dog,Neutered Male,1 year,Pit Bull,Blue/White,Opioids
12,Monday,6/15/2014 15:50,6/15/2014 15:50,6/2/2005,Transfer,Partner,Dog,Neutered Male,9 years,Miniature Schnauzer Mix,White,Crystalloid
13,,7/22/2014 16:04,7/22/2014 16:04,7/7/2014,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,Potassium chloride
14,Miso,7/30/2017 12:03,7/30/2017 12:03,6/7/2017,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,gluconate
15,,7/7/2014 14:04,7/7/2014 14:04,1/7/2014,Euthanasia,Rabies Risk,Other,Unknown,5 months,Bat Mix,Brown,mannitol
16,*Edgar,10/7/2013 13:06,10/7/2013 13:06,6/3/2013,Transfer,Partner,Dog,Intact Male,4 months,Leonberger Mix,Brown/White,Dextrose
17,Toots,12/7/2018 17:36,12/7/2018 17:36,12/7/2015,Return to Owner,,Cat,Intact Female,3 years,Domestic Shorthair Mix,Blue Tabby,Heparin
18,,12/2/2017 16:24,12/2/2017 16:24,11/28/2016,Transfer,Partner,Dog,Neutered Male,1 year,Australian Shepherd/Nova Scotia Duck Tolling Retriever,Chocolate/White,Vitamin K1
19,,10/19/2015 14:55,10/19/2015 14:55,5/29/2015,Transfer,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Red,isoflurane
20,,1/12/2017 17:02,1/12/2017 17:02,11/18/2016,Adoption,,Dog,Spayed Female,1 month,Labrador Retriever Mix,Tan/White,alfaxalone
21,,1/18/2018 16:59,1/18/2018 16:59,10/30/2017,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,Brown/White,propofol
22,Boone,2/16/2015 13:24,2/16/2015 13:24,2/16/2009,Return to Owner,,Dog,Neutered Male,6 years,English Springer Spaniel Mix,Liver/White,hydroxyzine
23,Lucky Charm,8/23/2018 19:00,8/23/2018 19:00,6/12/2018,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,Colloid
24,Megatron,2/17/2015 15:06,2/17/2015 15:06,2/17/2012,Adoption,,Dog,Spayed Female,3 years,Dachshund/Chihuahua Shorthair,Red,emulsions
25,Ruby,7/23/2015 18:31,7/23/2015 18:31,1/23/2012,Return to Owner,,Dog,Spayed Female,3 years,Catahoula/Labrador Retriever,Brown Brindle,Amoxicillin
26,White Boy,11/25/2018 11:44,11/25/2018 11:44,3/24/2018,Return to Owner,,Dog,Intact Male,8 months,Pit Bull Mix,White/Black,Clindamycin
27,,5/28/2016 16:40,5/28/2016 16:40,3/7/2016,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby,Amoxicillin
28,,10/8/2018 0:00,10/8/2018 0:00,10/7/2013,Died,At Vet,Cat,Intact Female,5 years,Domestic Shorthair Mix,Black/White,Ampicillin
p',,7/27/2015 14:21,7/27/2015 14:21,7/23/2005,Transfer,Partner,Dog,Neutered Male,10 years,Pug,Fawn/Black,Cefazolin
29,Moomoo,7/28/2018 14:07,7/28/2018 14:07,7/20/2016,Adoption,,Dog,Spayed Female,2 years,French Bulldog/Pit Bull,White/Black,sulfonamide
30,*Lindi,5/27/2018 16:41,5/27/2018 16:41,3/29/2015,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White,Doxycycline
31,Gio,12/27/2016 10:40,12/27/2016 10:40,12/26/2015,Return to Owner,,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Red/Tan,Erythromycin
32,Jolie,4/30/2017 15:50,4/30/2017 15:50,4/30/2004,Return to Owner,,Cat,Spayed Female,13 years,Domestic Shorthair Mix,Brown Tabby/White,Metronidazole
33,Yoshi,9/1/2015 16:36,9/1/2015 16:36,1/21/2010,Return to Owner,,Dog,Spayed Female,5 years,Pit Bull Mix,Blue/White,Enrofloxacin
34,Church,4/25/2018 18:16,4/25/2018 18:16,6/19/2017,Adoption,,Dog,Neutered Male,10 months,Plott Hound Mix,Brown Brindle,Florfenicol
35,,12/13/2014 12:20,12/13/2014 12:20,12/13/2013,Euthanasia,Suffering,Other,Unknown,1 year,Squirrel Mix,Tan,Oxygen
36,Toby,3/21/2015 11:45,3/21/2015 11:45,3/16/2011,Return to Owner,,Dog,Neutered Male,4 years,Chihuahua Longhair Mix,Cream,xylazine
37,*Huncho,7/18/2018 17:04,7/18/2018 17:04,5/29/2017,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Brown Tabby,medetomidine
38,*Calvin,5/3/2018 11:25,5/3/2018 11:25,4/24/2016,Adoption,,Dog,Neutered Male,2 years,Border Terrier Mix,Tan/White,yohimbine
39,*Ella,12/8/2014 15:55,12/8/2014 15:55,11/23/2011,Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown,tolazoline
40,Charlie,1/17/2015 17:22,1/17/2015 17:22,1/17/2013,Return to Owner,,Dog,Neutered Male,2 years,Treeing Walker Coonhound Mix,White/Brown,Anticholinergic
